trait_name,ontology mapable,"needed, not in ontologies",tissue,category,other_tags,nrow,description,Saatkamp_2018,TRY name,TRY number,TRY notes,TOP_trait,Top_identifier,Top_link,Top_link_date,NOTES,proposed_name_changes,workshop (or review),,
cell_spongy_mesophyll_P_per_fresh_mass,,,leaf,nutrient,cellular_scale,16,P content of spongy mesophyll cells,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_cell_spongy_mesophyll_P_content_per_fresh_mass,,chemical >element/nutrient,
cell_thylakoid_N_per_total_N,,,leaf,nutrient,cellular_scale,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_cell_thylakoid_N_content_per_total_N,,chemical >element/nutrient,"need to verify if ""total"" just leaves or whole plant"
chlorophyll_A_B_ratio,,,leaf,nutrient,molecular; photosynthetic,18,Ratio of chlorophyll A to chlorophyll B,,Leaf chlorophyll a/b ratio,416,NA,NA,NA,NA,Not in TOP,,chemical_leaf_chlorophyll_A_B_ratio,,chemical > compound,
chlorophyll_A_per_area,,,leaf,nutrient,molecular; photosynthetic,NA,NA,,Leaf chlorophyll content per leaf area (Chl a),3476,NA,NA,NA,NA,Not in TOP,,chemical_leaf_chlorophyll_A_content_per_area,,chemical > compound,
chlorophyll_A_per_dry_mass,,,leaf,nutrient,molecular; photosynthetic,NA,NA,,Leaf chlorophyll content per leaf dry mass (Chl a),3474,NA,NA,NA,NA,Not in TOP,,chemical_leaf_chlorophyll_A_content_per_dry_mass,,chemical > compound,
chlorophyll_B_per_area,,,leaf,nutrient,molecular; photosynthetic,NA,NA,,Leaf chlorophyll content per leaf area (Chl b),3477,NA,NA,NA,NA,Not in TOP,,chemical_leaf_chlorophyll_B_content_per_area,,chemical > compound,
chlorophyll_B_per_dry_mass,,,leaf,nutrient,molecular; photosynthetic,NA,NA,,Leaf chlorophyll content per leaf dry mass (Chl b),3475,NA,NA,NA,NA,Not in TOP,,chemical_leaf_chlorophyll_B_content_per_dry_mass,,chemical > compound,
chlorophyll_per_area,,,leaf,nutrient,molecular; photosynthetic,NA,NA,,Leaf chlorophyll content per leaf area,413,NA,NA,NA,NA,Not in TOP,,chemical_leaf_chlorophyll_content_per_area,,chemical > compound,
chlorophyll_per_dry_mass,,,leaf,nutrient,molecular; photosynthetic,NA,NA,,Leaf chlorophyll content per leaf dry mass,164,NA,NA,NA,NA,Not in TOP,,chemical_leaf_chlorophyll_content_per_dry_mass,,chemical > compound,
ci_at_Amax,,,leaf,physiology,gas_exchange; photosynthetic,20,internal CO2 concentration during Amax measurement,,Leaf photosynthetic A/Ci curve: intercellular CO2 concentration,3366,"similar, not identical",NA,NA,NA,Not in TOP,,leaf_internal_carbon_dioxide_concentration_maximum,(gas exchange/fluor minor review),physiology > gas_exchange > carbon_dioxide_concentration,
ci_at_ambient,,,leaf,physiology,gas_exchange; photosynthetic,19,internal CO2 concentration under ambient conditions,,Leaf photosynthetic A/Ci curve: intercellular CO2 concentration,3366,"similar, not identical",NA,NA,NA,Not in TOP,,leaf_internal_carbon_dioxide_concentration_ambient,(gas exchange/fluor minor review),physiology > gas_exchange > carbon_dioxide_concentration,
ci_at_Asat,,,leaf,physiology,gas_exchange; photosynthetic,21,internal CO2 concentration during Asat measurement,,Leaf photosynthetic A/Ci curve: intercellular CO2 concentration,3366,NA,NA,NA,NA,Not in TOP,,leaf_internal_carbon_dioxide_concentration_saturated,(gas exchange/fluor minor review),physiology > gas_exchange > carbon_dioxide_concentration,
ci_over_ca,,,leaf,physiology,gas_exchange; photosynthetic,22,Ratio of internal to external CO2 concentrations,,Leaf photosynthesis: intercellular CO2 concentration to ambient CO2 (ci/ca),3379,NA,NA,NA,NA,Not in TOP,,leaf_internal_external_carbon_dioxide_concentration_ratio,(gas exchange/fluor minor review),physiology > gas_exchange > carbon_dioxide_concentration,
competitive_stratum,,,whole_plant,life history,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,(environmental tolerance),life_history > environmental_tolerance,
cotyledon_function,,,leaf,life history,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,seedling_cotyledon_function,,life_history > reproductive,
cotyledon_position,,,leaf,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,seedling_cotyledon_position,,morphology > seedling,
cotyledon_type,,,leaf,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,seedling_cotyledon_type,,morphology > seedling,
dead_wood_Ca_per_dry_mass,,,stem,nutrient,,NA,NA,,"Litter (other than leaf: twigs, bark, flowers...) calcium (Ca) content per litter dry mass",2892,NA,coarse woody debris calcium content per coarse woody debris dry mass,TOP750,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Coarse_woody_debris_calcium_content_per_coarse_woody_debris_dry_mass_trait,20210518,,nutrient_litter_wood_Ca_content_per_dry_mass,,chemical >element/nutrient,
dead_wood_K_per_dry_mass,,,stem,nutrient,,NA,NA,,"Litter (other than leaf: twigs, bark, flowers...) potassium (K) content per litter dry mass",2891,NA,coarse woody debris potassium content per coarse woody debris dry mass,TOP763,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Coarse_woody_debris_potassium_content_per_coarse_woody_debris_dry_mass_trait,20210518,,nutrient_litter_wood_K_content_per_dry_mass,,chemical >element/nutrient,
dead_wood_Mg_per_dry_mass,,,stem,nutrient,,NA,NA,,"Litter (other than leaf: twigs, bark, flowers...) magnesium (Mg) content per litter dry mass",2893,NA,coarse woody debris magnesium content per coarse woody debris dry mass,TOP756,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Coarse_woody_debris_magnesium_content_per_coarse_woody_debris_dry_mass_trait,20210518,,nutrient_litter_wood_Mg_content_per_dry_mass,,chemical >element/nutrient,
dead_wood_N_per_dry_mass,,,stem,nutrient,,NA,NA,,Litter twig nitrogen (N) content per twig dry mass,1199,NA,coarse woody debris nitrogen content per coarse woody debris dry mass,TOP761,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Coarse_woody_debris_nitrogen_content_per_coarse_woody_debris_dry_mass_trait,20210518,,nutrient_litter_wood_N_content_per_dry_mass,,chemical >element/nutrient,
dead_wood_Na_per_dry_mass,,,stem,nutrient,,NA,NA,,"Litter (other than leaf: twigs, bark, flowers...) sodium (Na) content per litter dry mass",2898,NA,coarse woody debris sodium content per coarse woody debris dry mass,TOP759,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Coarse_woody_debris_sodium_content_per_coarse_woody_debris_dry_mass_trait,20210518,,nutrient_litter_wood_Na_content_per_dry_mass,,chemical >element/nutrient,
dead_wood_P_per_dry_mass,,,stem,nutrient,,NA,NA,,Litter other than leaf phosphorus (P) content per litter dry mass,2890,NA,coarse woody debris phosphorus content per coarse woody debris dry mass,TOP762,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Coarse_woody_debris_phosphorus_content_per_coarse_woody_debris_dry_mass_trait,20210518,,nutrient_litter_wood_P_content_per_dry_mass,,chemical >element/nutrient,
diaspore_mass,,,reproductive; seed,morphology,,23,Mass of seed including dispersal appendages,,Dispersal unit dry mass,233,NA,dispersule dry mass,TOP110,https://top-thesaurus.org/annotationInfo?viz=1&trait=Dispersule%20dry%20mass%20trait,20210518,"TOP110 includes fruit, seed, germinule - a menu in heirarchy, not an end point; does link to appropriate TRY name",,seed and fruit traits,morphology > reproductive > seed / allocation,
dispersal_appendage,,,reproductive; seed,morphology,,24,Type of dispersal appendage present,dispersal potential,Dispersal unit type,231,NA,NA,NA,NA,Not in TOP,,,seed and fruit traits,morphology > reproductive > seed,
dispersal_syndrome,,,reproductive; seed,life history,dispersal,25,"Type of dispersal syndrome displayed by species, although the list includes many dispersal appendages and fruit types. Many definitions come from Kew Botanic Gardens website.",dispersal potential,Dispersal syndrome,28,NA,whole plant dispersal syndrome,TOP346,http://top-thesaurus.org/annotationInfo?viz=1&trait=Plant%20dispersal%20syndrome,2020,,,seed and fruit traits,life_history > reproductive > seed,
dispersers,,,reproductive; seed,life history,dispersal,NA,NA,dispersal vector; dispersal potential,Dispersal syndrome,28,"similar, not identical",NA,NA,NA,Not in TOP,,,seed and fruit traits,life_history > reproductive > seed,merge into dispersal_syndrome?
dormancy_type,,,whole_plant,life history,fire_response,26,Classification for seed dormancy,,NA,NA,NA,NA,NA,NA,Not in TOP,,,fire response,life_history > fire_response,
embryo_colour,,,reproductive; seed,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,seedling_embryo_colour,,morphology > seedling,
epidermal_cell_density_abaxial,,,leaf,morphology,cellular_scale,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,cell_morphology_leaf_epidermal_cell_density_abaxial,,morphology > cellular,??use abaxial/adaxial or upper_surface/lower_surface
epidermal_cell_density_adaxial,,,leaf,morphology,cellular_scale,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,cell_morphology_leaf_epidermal_cell_density_adaxial,,morphology > cellular,??use abaxial/adaxial or upper_surface/lower_surface
epidermal_cell_density_both_sides,,,leaf,morphology,cellular_scale,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,cell_morphology_leaf_epidermal_cell_density,,morphology > cellular,??use abaxial/adaxial or upper_surface/lower_surface
epidermis_thickness,,,leaf,morphology,cellular_scale,NA,NA,,Leaf epidermis thickness,101,NA,NA,NA,NA,Not in TOP,,cell_morphology_leaf_epidermis_thickness,,morphology > cellular,??use abaxial/adaxial or upper_surface/lower_surface
epidermis_thickness_lower_leaf_surface,,,leaf,morphology,cellular_scale,NA,NA,,Leaf epidermis thickness,101,NA,NA,NA,NA,Not in TOP,,cell_morphology_leaf_epidermis_thickness_abaxial,,morphology > cellular,??use abaxial/adaxial or upper_surface/lower_surface
epidermis_thickness_upper_leaf_surface,,,leaf,morphology,cellular_scale,NA,NA,,Leaf epidermis thickness,101,NA,NA,NA,NA,Not in TOP,,cell_morphology_leaf_epidermis_thickness_adaxial,,morphology > cellular,??use abaxial/adaxial or upper_surface/lower_surface
establishment_light_environment_index,,,whole_plant,life history,light_interaction,NA,NA,light requirement,NA,NA,NA,NA,NA,NA,Not in TOP,,,seed and fruit traits; (environmental tolerance),life_history > environmental_tolerance,
fire_and_establishing,,,reproductive,life history,fire_response,NA,NA,light requirement,XXXX,NA,NA,NA,NA,NA,Not in TOP,,,seed and fruit traits; fire response,life_history > fire_response,
fire_cued_seeding,,,reproductive; seed,life history,fire_response,31,Distinguishes between plants that do and do not have fire-cued seeding,dormancy-breaking cues,NA,NA,NA,NA,NA,NA,Not in TOP,,,seed and fruit traits; fire response,life_history > fire_response,
fire_flame_duration,,,whole_plant,life history,fire_response,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,fire response,life_history > fire_response,
fire_fuel_bed_bulk_density,,,whole_plant,life history,fire_response,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,fire response,life_history > fire_response,
fire_fuel_comsumption,,,whole_plant,life history,fire_response,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,fire response,life_history > fire_response,
fire_rate_of_spread,,,whole_plant,life history,fire_response,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,fire response,life_history > fire_response,
fire_response,,,whole_plant,life history,fire_response,29,Distinguishes between plants that are killed by fire and resprout following fire,,Species tolerance to fire; Plant resprouting capacity,318; 819,NA,NA,NA,NA,Not in TOP,,,fire response,life_history > fire_response,
fire_response_detailed,,,whole_plant,life history,fire_response,30,Detailed information distinguishing between plants that are killed by fire and resprout following fire,,Species tolerance to fire; Plant resprouting capacity,318; 819,NA,NA,NA,NA,Not in TOP,,,fire response,life_history > fire_response,
fire_response_juvenile,,,whole_plant,life history,fire_response,NA,NA,,Variable summarising how juvenile plants respond to fire,NA,NA,NA,NA,NA,Not in TOP,,,fire response,life_history > fire_response,
fire_response_on_maturity,,,whole_plant,life history,fire_response,NA,NA,,Variable summarising how plants' maturity status changes following fire,NA,NA,NA,NA,NA,Not in TOP,,,fire response,life_history > fire_response,
fire_smoulder_duration,,,whole_plant,life history,fire_response,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,fire response,life_history > fire_response,
fire_time_to_ignition,,,whole_plant,life history,fire_response,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,fire response,life_history > fire_response,
fire_total_burn_duration,,,whole_plant,life history,fire_response,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,fire response,life_history > fire_response,
flood_regime_classification,,,whole_plant,life history,environmental_tolerance,NA,NA,,NA,NA,NA,plant populations moisture indicator value according to Ellenberg,TOP779,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Ellenberg_moisture_value,20210519,not an exact match,,(environmental tolerance),life_history > environmental_tolerance,
flower_androecium_structural_merism,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_androecium_structural_phyllotaxis,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_androecium_structural_whorls_count,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_anther_attachment,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_anther_connective_extension,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_anther_dehiscence,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_anther_orientation,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_colour,,,reproductive; flower,morphology,,32,"Flower colour, with six possible outcomes",,Flower color,207,NA,flower color,TOP242,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Flower_color,20210518,,,MTS,morphology > reproductive > flower,
flower_count_maximum,,,reproductive; flower,allocation,,33,Maximum flower number produced,,Flower number per plant,2999,NA,NA,NA,NA,Not in TOP,,flower_count_maximum,,biomass > allocation,
flower_fertile_stamens_count,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
